"MES","REGIONAL","CENTRO.DE.FORMACION","GRUPO.O.DEPENDENCIA","FUNCIONARIO","APLICATIVO","CANAL","MEDIO.DE.INGRESO","GRUPO.DE.INTERES","ASUNTO","TIPO.DE.PETICION","TEMA.PQRS","ESTADO.REAL.PQRS"
"Marzo","Valle Del Cauca","Centro Agropecuario De Buga","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Heberth Hernando Garcia Tamayo","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Enero","Santander","Centro Industrial De Mantenimiento Integral","Despacho Subdireccion De Centro","Claudia Marcela Murillo Salguero","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Generada"
"Marzo","Risaralda","Centro De Diseno E Innovacion Tecnologica Industrial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Angela Johana Garcia Quintana","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Grupo Apoyo Administrativo Mixto","Monica Cuadros Sierra","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Gestion Administrativa","Despacho Subdireccion De Centro","Waine Antony Triana Albis","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Reintegro","Respuesta Generada"
"Marzo","Risaralda","Centro De Diseno E Innovacion Tecnologica Industrial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Angela Johana Garcia Quintana","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Valle Del Cauca","Centro De Gestion Tecnologica De Servicios","Despacho Subdireccion De Centro","Edgar Orlando Herrera Prieto","Onbase","Virtual","Web","Instructor","Queja","Entidad","Irregulidades Contratacion Estatal","Respuesta Generada"
"Febrero","Atlantico","Centro De Comercio Y Servicios","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Dorys Esther Del Toro Ruiz","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"Febrero","Meta","Centro De Industria Y Servicios Del Meta","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Paola Andrea Gomez Duarte","Onbase","Presencial","Fisico","Empresa","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Gestion Administrativa","Despacho Subdireccion De Centro","Waine Antony Triana Albis","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Febrero","Cundinamarca","Regional","Grupo De Relaciones Corporativas E Internacionales","Fabiola Cadena Diaz","Crm","Virtual","Web","Empresa","Peticion","De Servicios","Novedades","Respuesta Generada"
"Enero","Distrito Capital","Centro De Gestion Administrativa","Despacho Subdireccion De Centro","Waine Antony Triana Albis","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"Febrero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Febrero","Cauca","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","John Jairo Motta Calderon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"Febrero","Casanare","Regional","Grupo De Formacion Profesional Y Empleo","Levis Cerpa","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"Marzo","Valle Del Cauca","Centro De Diseno Tecnologico Industrial","Despacho Subdireccion De Centro","Alex Amed Valencia Rojas","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Santander","Centro De Gestion Agroempresarial Del Oriente","Despacho Subdireccion De Centro","(E) Javier Gonzalez Franco","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Generada"
"Marzo","Cundinamarca","Regional","Agencia Publica De Empleo","Maykol Mauricio Rojas Serna","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Publicacion De Vacante","Respuesta Generada"
"Marzo","Valle Del Cauca","Centro De Biotecnologia Industrial","Despacho Subdireccion De Centro","Elsy Lorena Portillo Diaz","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Febrero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Marzo","Meta","Regional","Agencia Publica De Empleo","Rafael Antonio Galarza Mojica","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Agencia Publica De Empleo","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Paz Y Salvo De Aportes","Respuesta Generada"
"Marzo","Antioquia","Centro De Formacion En Diseno, Confeccion Y Moda","Despacho Subdireccion De Centro","Leon Arturo Otero Botero","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"Enero","Cundinamarca","Centro De Desarrollo Agroempresarial","Despacho Subdireccion De Centro","Leonora Barragan Bedoya","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Publicacion De Vacante","Respuesta Generada"
"Febrero","Valle Del Cauca","Regional","Agencia Publica De Empleo","Jorge Humberto Pena","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape-Postulacion A Vacantes Internacionales","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Servicios Financieros","Grupo Administracion Educativa","Diana Maria Cuellar","Onbase","Virtual","Web","Aprendiz Sena","Queja","Entidad","Irregularidades Contratacion - Prestacion Servicios Personales Centros De Formacion","Respuesta Generada"
"Marzo","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Marzo","Antioquia","Centro De Formacion Profesional Minero Ambiental","Despacho Subdireccion De Centro","Jairo Leon Jimenez Zapata","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Convocatorias Quiero Ser Instructor Sena","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Gestion De Mercados, Logistica Y Tecnologias De La Informacion","Despacho Subdireccion De Centro","Elvia Zoraida Martin Mora","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Estado De Cuenta","Respuesta Generada"
"Marzo","Risaralda","Regional","Agencia Publica De Empleo","Enngi Lennik Correa Lopez","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Restablecimiento De Clave Ape","Respuesta Generada"
"Marzo","Atlantico","Centro De Comercio Y Servicios","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Frankly Sepulveda Navarro","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Febrero","Huila","Centro De Desarrollo Agroempresarial Y Turistico Del Huila","Despacho Subdireccion De Centro","(E) Cesar Humberto Chavarro Perez","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"Marzo","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Enero","Amazonas","Regional","Grupo Apoyo Administrativo Mixto","Constanza Nohemi Silva Forero","Onbase","Virtual","Web","Ciudadano","Sugerencia","Entidad","Contratacion - Prestacion Servicios Personales Regionales","Respuesta Generada"
"Marzo","Guajira","Centro Industrial Y De Energias Alternativas","Despacho Subdireccion De Centro","Carlos Eduardo Robles Palomino","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Marzo","Tolima","Centro De Industria Y Construccion","Despacho Subdireccion De Centro","(E) Alexander Montealegre Ramirez","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Estado De Cuenta","Respuesta Generada"
"Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa, De Registro Y Control Academico","Edgar Adrian Zambrano","Onbase","Virtual","Email","Ciudadano","Denuncias","Posibles Actos De Corrupcion","Solicitudes Administrativas","Respuesta Generada"
"Febrero","Risaralda","Centro De Diseno E Innovacion Tecnologica Industrial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Angela Johana Garcia Quintana","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Marzo","Distrito Capital","Centro Nacional De Hoteleria, Turismo Y Alimentos","Despacho Subdireccion De Centro","Fernando Castellanos Forero","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Poblacion Vulnerables Y Victimas","Respuesta Generada"
"Marzo","Antioquia","Centro De Servicios De Salud","Despacho Subdireccion De Centro","Luis Guillermo Arboleda Norena","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Enero","Cauca","Regional","Agencia Publica De Empleo","Susana Del Pilar Rojas","Onbase","Virtual","Web","Ciudadano","Reclamo","Peticion Sin Responder","Fiscalizacion - Falta De Respuesta De Una Regional","Respuesta Generada"
"Marzo","Tolima","Regional","Agencia Publica De Empleo","Guillermo Garcia Bendek","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Enero","Cordoba","Regional","Despacho Direccion Regional","(E) Jose Nicolas Barrios Sierra","Onbase","Virtual","Email","Ciudadano","Peticion","Interes General O Particular","Servicio De Atencion Al Ciudadano","Respuesta Generada"
"Febrero","Antioquia","Centro De Tecnologia De La Manufactura Avanzada","Despacho Subdireccion De Centro","Jaime Andres Londono Mejia","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Activacion Usuario Sofia","Respuesta Generada"
"Enero","Cundinamarca","Centro De Biotecnologia Agropecuaria","Grupo Administracion Educativa","Jose Raul Perilla Gutierrez","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"Marzo","Sucre","Regional","Agencia Publica De Empleo","Johanna Lizeth Sierra Vega","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Inscripcion De Aspirante - Agencia Publica De Empleo","Respuesta Generada"
"Febrero","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa","Edgar Adrian Zambrano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","(E) Fabio Humberto Molano Olmos","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Informacion","De Formacion","Respuesta Generada"
"Enero","Boyaca","Regional","Grupo De Relaciones Corporativas E Internacionales","Davian Estivenson Gomez Molano","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Febrero","Distrito Capital","Regional","Grupo De Gestion De Talento Humano","Claudia Janet Gomez Larrotta","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Otros Derechos","Solicitudes Administrativas","Respuesta Generada"
"Febrero","Cauca","Regional","Centro Agropecuario","Fabian Javier Lasso","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape-Cambio/Actualizacion Tipo De Identificacion Usuario","Respuesta Generada"
"Marzo","Magdalena","Centro De Logistica Y Promocion Ecoturistica Del Magdalena","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Carlos Mario Garcia","Onbase","Virtual","Web","Aprendiz Sena","Reclamo","Ninguno","Ape-Orientacion Ocupacional","Respuesta Generada"
"Febrero","Casanare","Regional","Grupo De Formacion Profesional Y Empleo","Levis Cerpa","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"Febrero","Atlantico","Centro Para El Desarrollo Agroecologico Y Agroindustrial","Grupo Administracion Educativa","Carmela Lucia Navarro Fernandez","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Restablecimiento De Clave Ape","Respuesta Generada"
"Febrero","Huila","Centro De La Industria, La Empresa Y Los Servicios","Despacho Subdireccion De Centro","Fermin Beltran Barragan","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Prestacion Del Servicio","Respuesta Generada"
"Marzo","Cauca","Centro Agropecuario","Grupo Formacion Integral Gestion Educativa","Fabian Javier Lasso","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Informacion","Certificaciones Aprendiz","Respuesta Generada"
"Marzo","Antioquia","Centro De Comercio","Despacho Subdireccion De Centro","(E) Oswaldo De Jesus Monroy Urrego","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Febrero","Caqueta","Centro Tecnologico De La Amazonia","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Cesar Fernando Marles","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Personales Regionales","Respuesta Generada"
"Febrero","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Despacho Subdireccion De Centro","(E) Pedro Rodriguez Sandoval","Onbase","Virtual","Web","Entidades Del Estado Y/O Autoridades","Peticion","De Servicios","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"Enero","Distrito Capital","Centro De Gestion Industrial","Despacho Subdireccion De Centro","Fabio Hernandez Rodriguez","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Generada"
"Enero","Boyaca","Centro Industrial De Mantenimiento Y Manufactura","Despacho Subdireccion De Centro","(E) Rosa Edith Parra Leon","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Generada"
"Marzo","Casanare","Regional","Grupo De Formacion Profesional Y Empleo","Carlos Hernan Rojas Rincon","Onbase","Presencial","Fisico","Entidades Del Estado Y/O Autoridades","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"Marzo","Direccion General","Secretaria General","Grupo De Relaciones Laborales","Luz Yaneth Torres Gordillo","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Publicacion De Vacante","Respuesta Generada"
"Marzo","Risaralda","Centro De Diseno E Innovacion Tecnologica Industrial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Angela Johana Garcia Quintana","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"Enero","Cordoba","Centro De Comercio, Industria Y Turismo De Cordoba","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Mavir Padilla Rios","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Validacion Documentos Hoja De Vida","Respuesta Generada"
"Enero","Bolivar","Regional","Agencia Publica De Empleo","Ines Yepes Sierra","Onbase","Virtual","Web","Instructor","Peticion","De Servicios","Ape- Validacion Documentos Hoja De Vida","Respuesta Generada"
"Marzo","Valle Del Cauca","Centro Latinoamericano De Especies Menores","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Roosevelt Jose Velasquez","Onbase","Presencial","Fisico","Ciudadano","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Marzo","Cundinamarca","Regional","Agencia Publica De Empleo","Eustacio Espinel Luengas","Onbase","Virtual","Email","Empresa","Peticion","De Servicios","Activacion Registro Suspendido","Respuesta Generada"
"Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Del Bienestar Al Aprendiz Y Relacionamiento Con El Egresado","Lily Johanna Jara Rubiano","Onbase","Virtual","Email","Servidor Publico","Peticion","De Servicios","Personales Direccion General","Respuesta Generada"
"Enero","Meta","Centro De Industria Y Servicios Del Meta","Despacho Subdireccion De Centro","(E) Stella Loboa Vasquez","Onbase","Virtual","Web","Ciudadano","Reclamo","Prestacion De Un Servicio","Banco De Instructores Sena","Respuesta Generada"
"Marzo","Boyaca","Centro De Gestion Administrativa Y Fortalecimiento Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Julian Alfonso Valero Bustos","Onbase","Presencial","Fisico","Empresa","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"Marzo","Cundinamarca","Regional","Grupo De Relaciones Corporativas E Internacionales","Juan Sebastian Garzon Yepes","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Certificacion Competencias Laborales","Respuesta Generada"
"Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa, De Registro Y Control Academico","Edgar Adrian Zambrano","Onbase","Virtual","Email","Aprendiz Sena","Peticion","De Servicios","Pagina Sena - Atencion Al Ciudadano","Respuesta Generada"
"Febrero","Guainia","Regional","Grupo De Formacion Profesional Y Empleo","Noel Arias","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"Marzo","Cundinamarca","Regional","Agencia Publica De Empleo","Eustacio Espinel Luengas","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"Marzo","Guajira","Centro Industrial Y De Energias Alternativas","Despacho Subdireccion De Centro","Carlos Eduardo Robles Palomino","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Activacion Usuario Sofia","Respuesta Generada"
"Marzo","Cesar","Centro De Operacion Y Mantenimiento Minero","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Maria Paulina Baquero Maestre","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Constancia Academicas","Respuesta Generada"
"Enero","Distrito Capital","Centro De Tecnologias Del Transporte","Despacho Subdireccion De Centro","William Dario Riano Baron","Onbase","Virtual","Web","Instructor","Reclamo","Ninguno","Ape- Intermediacion Laboral","Respuesta Generada"
"Febrero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Convocatorias Empleo","Respuesta Generada"
"Febrero","Antioquia","Regional","Grupo De Relaciones Corporativas E Internacionales","Gustavo Adolfo Castano Estrada","Onbase","Virtual","Web","Empresa","Queja","Entidad","Irregularidades Contratacion - Prestacion Servicios Personales Centros De Formacion","Respuesta Generada"
"Enero","Antioquia","Regional","Agencia Publica De Empleo","Eimar De Jesus Castano Graciano","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Generada"
"Marzo","Antioquia","Complejo Tecnologico, Turistico Y Agroindustrial Del Occidente Antioqueno","Despacho Subdireccion De Centro","Oldrid Farnery Zambrano Benavides","Onbase","Presencial","Fisico","Instructor","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"Enero","Bolivar","Centro Agroempresarial Y Minero","Despacho Subdireccion De Centro","Bibiana Cecilia Pinto Tovar","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Generada"
"Febrero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"Enero","Sucre","Regional","Grupo De Formacion Profesional Y Empleo","Ferley Ramos Geliz","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"Marzo","Valle Del Cauca","Regional","Agencia Publica De Empleo","Jorge Humberto Pena","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Despacho Subdireccion De Centro","Brayan Rincon","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Antioquia","Centro De Comercio","Despacho Subdireccion De Centro","(E) Angela Maria Valderrama Velez","Onbase","Virtual","Web","Ciudadano","Peticion","De Documentacion","Certificado De Competencia Laboral Del Proceso De Evaluacion Y Certificacion De Competencias Laborales","Respuesta Generada"
"Enero","Santander","Centro Industrial Del Diseno Y La Manufactura","Despacho Subdireccion De Centro","(E) Jairo Orlando Ramirez Montero","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Enero","Tolima","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Alvaro Bermudez Salazar","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Personales Centros De Formacion","Respuesta Generada"
"Enero","Cundinamarca","Centro De Desarrollo Agroempresarial","Despacho Subdireccion De Centro","Leonora Barragan Bedoya","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Documentacion","Certificado Formacion Titulada","Respuesta Generada"
"Febrero","Boyaca","Centro De Gestion Administrativa Y Fortalecimiento Empresarial","Grupo Administracion Educativa","Jaime Enrique Arias Sanabria","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"Febrero","Valle Del Cauca","Centro De Gestion Tecnologica De Servicios","Despacho Subdireccion De Centro","Edgar Orlando Herrera Prieto","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape-Postulacion A Vacantes Internacionales","Respuesta Generada"
"Febrero","Guajira","Centro Industrial Y De Energias Alternativas","Despacho Subdireccion De Centro","Carlos Eduardo Robles Palomino","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Magdalena","Centro Acuicola Y Agroindustrial De Gaira","Despacho Subdireccion De Centro","(E) Julio Rafael Del Castillo Lozano","Onbase","Virtual","Web","Instructor","Peticion","De Informacion","Banco De Instructores Sena","Respuesta Generada"
"Enero","Valle Del Cauca","Centro De Diseno Tecnologico Industrial","Despacho Subdireccion De Centro","Alex Amed Valencia Rojas","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"Marzo","Cesar","Regional","Agencia Publica De Empleo","Carlos Cardenas Figueroa","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Enero","Norte De Santander","Regional","Agencia Publica De Empleo","Dennis Cristal Barrera Cota","Onbase","Virtual","Web","Ciudadano","Peticion","De Informacion","Agencia Publica De Empleo","Respuesta Generada"
"Febrero","Atlantico","Regional","Agencia Publica De Empleo","John Harold Goenaga Barrios","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Activacion Registro Suspendido","Respuesta Generada"
"Marzo","Distrito Capital","Centro De Gestion Industrial","Despacho Subdireccion De Centro","(E) Monica Andrade Rios","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Fiscalizacion - Actualizacion De Informacion","Respuesta Generada"
"Febrero","Cordoba","Centro De Comercio, Industria Y Turismo De Cordoba","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Mavir Padilla Rios","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Marzo","Santander","Centro Industrial De Mantenimiento Integral","Despacho Subdireccion De Centro","Claudia Marcela Murillo Salguero","Onbase","Virtual","Web","Aprendiz Sena","Queja","Servidor Publico","Mala Prestacion Del Servicio - Instructor","Respuesta Generada"
"Febrero","Cesar","Regional","Agencia Publica De Empleo","Carlos Cardenas Figueroa","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"Marzo","Direccion General","Direccion De Formacion Profesional","Grupo Gestion Administrativa, De Registro Y Control Academico","Edgar Adrian Zambrano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","De Formacion","Respuesta Generada"
"Marzo","Santander","Regional","Agencia Publica De Empleo","Juan Antonio Tautiva Duenas","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Febrero","Distrito Capital","Regional","Grupo De Gestion De Administracion Educativa","Johana Huerfano Jimenez","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitudes Administrativas","Respuesta Generada"
"Febrero","Distrito Capital","Centro De Electricidad, Electronica Y Telecomunicaciones","Despacho Subdireccion De Centro","(E) Pedro Rodriguez Sandoval","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Inscripcion - Programas Formacion Titulada","Respuesta Generada"
"Febrero","Valle Del Cauca","Centro De Diseno Tecnologico Industrial","Despacho Subdireccion De Centro","Alex Amed Valencia Rojas","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"Enero","Sucre","Regional","Grupo De Relaciones Corporativas E Internacionales","Astryd Del Carmen Conde","Onbase","Presencial","Fisico","Empresa","Peticion","De Servicios","Inscripcion - Programas Formacion Complementaria","Respuesta Generada"
"Marzo","Putumayo","Regional","Grupo Apoyo Administrativo Mixto","Jose Ricardo Ordonez Barrera","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Febrero","Sucre","Regional","Agencia Publica De Empleo","Johanna Lizeth Sierra Vega","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"Marzo","Distrito Capital","Regional","Grupo De Formacion Profesional Y Empleo","Ana Milena Angel Parra","Onbase","Virtual","Web","Ciudadano","Peticion","De Servicios","Fiscalizacion - Actualizacion De Informacion","Respuesta Generada"
"Enero","Antioquia","Complejo Tecnologico Agroindustrial, Pecuario Y Turistico","Despacho Subdireccion De Centro","(E) Jorge Andres Arias Hernandez","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Solicitud De Aplazamiento","Respuesta Generada"
"Marzo","Valle Del Cauca","Centro De Electricidad Y Automatizacion Industrial","Despacho Subdireccion De Centro","Claudia Patricia Yandar Ledesma","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"Febrero","Huila","Regional","Despacho Direccion Regional","(E) Adriana Milena Gasca Cardoso","Onbase","Presencial","Fisico","Entidades Del Estado Y/O Autoridades","Peticion","De Servicios","Prestacion Del Servicio","Respuesta Generada"
